name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,available
Spacious room in heart of Williamsburg,Mathew,Brooklyn,Williamsburg,40.70861,-73.95414,Private room,85,1,0,,,1,0
Gloriously Sunny Brooklyn Pad!,Callie And Sean,Brooklyn,Bedford-Stuyvesant,40.6892,-73.95457,Private room,53,2,121,16/06/2019,3.3,1,348
Private room w/ 2 Beds,Shirley,Queens,Flushing,40.74821,-73.82948,Private room,40,7,19,23/06/2019,0.52,12,251
Private room close to the center of Williamburg,August,Brooklyn,Williamsburg,40.71428,-73.95172,Private room,60,1,0,,,1,0
Spacious and charming living room in Brooklyn ;),Inna,Brooklyn,Midwood,40.61978,-73.95605,Shared room,50,1,16,15/08/2017,0.46,1,0
Your Home away from Home!,Fabian,Queens,Jamaica,40.6711,-73.76508,Private room,61,1,58,29/04/2017,1.77,1,0
"Bright, Spacious Home Near Beach & Subway",Anna,Queens,Arverne,40.59051,-73.79152,Private room,69,1,51,11/06/2019,1.4,4,152
2 Bedroom apartment in Prime Williamsburg!,Yana,Brooklyn,Williamsburg,40.70938,-73.95435,Entire home/apt,150,1,174,27/06/2019,4.84,1,236
"PRIVATE LARGE STUDIO FOR YOU, PLUS!",Sha,Brooklyn,Bedford-Stuyvesant,40.68398,-73.94101,Entire home/apt,90,2,113,22/06/2019,3.08,3,262
Flushing Private Room W/ bathroom W/2 Quee Bed/1FL,Shirley,Queens,Flushing,40.74988,-73.82884,Private room,60,7,82,11/06/2019,2.34,12,152
Bedroom available  with closet space,Ryan,Queens,Astoria,40.76736,-73.91462,Private room,50,5,3,25/07/2017,0.08,1,0
Marabou,Christian,Brooklyn,Crown Heights,40.67431,-73.95399,Private room,55,30,19,11/08/2018,0.52,1,281
1br in Beautiful 2br-Prime location (LIC/Astoria),Shaheen,Queens,Astoria,40.75818,-73.92513,Private room,30,6,0,,,1,0
Suburban Living in Brooklyn,Patricia,Brooklyn,Canarsie,40.6415,-73.88739,Entire home/apt,90,2,54,22/07/2018,1.47,1,64
1 bedroom steps from Barclay center and 11 trains,Kyler,Brooklyn,Boerum Hill,40.68473,-73.97868,Entire home/apt,140,2,5,27/08/2016,0.14,2,0
Sunny room in Williamsburg with view of Manhattan,Andrew,Brooklyn,Williamsburg,40.70854,-73.96242,Private room,85,2,122,14/06/2019,3.35,1,258
Shady Listing - Authentic NY'r,Tmc,Bronx,Concourse,40.82948,-73.92364,Private room,82,4,0,,,2,0
Huge sunlit 1 bedroom next tosubway,Lyoka,Brooklyn,Sheepshead Bay,40.60733,-73.95322,Entire home/apt,225,2,1,08/07/2018,0.08,1,364
Sunny 1 bdrm w private outdoor deck in Greenpoint!,Gabriella,Brooklyn,Greenpoint,40.72748,-73.95272,Private room,75,3,0,,,1,0
Spacious Bright Private Room in Bedstuy!,Ilham,Brooklyn,Bedford-Stuyvesant,40.6847,-73.91762,Private room,50,1,0,,,1,0
Cozy room in artsy Bushwick home,Lauren,Queens,Ridgewood,40.71118,-73.9151,Private room,35,1,2,16/08/2016,0.06,1,0
Spacious Serene Room Located in Prime E. Flatbush,Andre,Brooklyn,East Flatbush,40.63348,-73.94737,Private room,95,1,20,04/09/2018,0.58,8,189
Comfy bed in Cozy Home - GRAND ARMY PLAZA,Mary,Brooklyn,Prospect Heights,40.67403,-73.96798,Private room,48,2,131,01/06/2019,3.88,1,333
Private bedroom with great views,Sahul,Brooklyn,Greenpoint,40.72249,-73.94776,Private room,50,5,3,08/03/2017,0.08,1,0
Flushing Spacious Room w/ 2 Queen Beds (1FL),Shirley,Queens,Flushing,40.74879,-73.82958,Private room,55,3,47,21/04/2019,1.33,12,65
Carroll Gardens 1 Bedroom Studio Apartment,Philip,Brooklyn,Carroll Gardens,40.67747,-73.99917,Entire home/apt,100,5,0,,,1,0
Flushing Deluxe Room w/ 2 Bed (1FL),Shirley,Queens,Flushing,40.74875,-73.82775,Private room,50,7,55,24/01/2019,1.57,12,160
Cozy Room w/ Queen Bed (1FL),Shirley,Queens,Flushing,40.75026,-73.82873,Private room,40,7,59,12/06/2019,1.67,12,120
Super sunny and spacious! Privacy!,Maria,Queens,Ditmars Steinway,40.77697,-73.9082,Private room,60,2,10,27/09/2018,0.38,2,364
Comfortable Room w/ 1 Full Bed (1FL),Shirley,Queens,Flushing,40.74944,-73.82772,Private room,40,3,51,09/05/2019,1.45,12,96
Beautiful 2 BR Garden Dplx in BK (w/ opt nursery),Meriwether,Brooklyn,Bedford-Stuyvesant,40.68746,-73.95811,Entire home/apt,245,5,0,,,1,0
Sweet room in Brooklyn,Marie And Alec,Brooklyn,Flatlands,40.62971,-73.93336,Private room,45,1,9,22/11/2017,0.26,1,189
Beachside Antique Themed Room,Alex,Brooklyn,Brighton Beach,40.57577,-73.96115,Private room,60,1,18,05/07/2019,2.78,2,343
Iconic BK spot steps from mass transit.,Kyler,Brooklyn,Boerum Hill,40.68473,-73.97863,Shared room,47,1,0,,,2,0
Home away from home. Contemporary!,Patrick,Queens,Jackson Heights,40.7532,-73.87731,Entire home/apt,125,3,12,17/06/2019,0.35,1,274
Studio apartment 10minute to JFK 20m to Manhattan,Eddie,Queens,Briarwood,40.71116,-73.81514,Entire home/apt,75,2,57,17/05/2019,1.55,1,314
"Downtown Brooklyn, Luxury-One bed Apartment",Ken,Brooklyn,Downtown Brooklyn,40.69037,-73.98206,Entire home/apt,202,30,1,04/09/2017,0.04,87,365
Beautiful Room in Modern Duplex,Jacqueline,Queens,Astoria,40.77153,-73.93191,Private room,150,2,0,,,1,0
Cozy Room in the lovely neighborhood of Bed Stuy,Loreto,Brooklyn,Bedford-Stuyvesant,40.68155,-73.93639,Private room,45,3,6,10/12/2017,0.18,1,0
Very private/cute/spacious room,Sarah,Queens,Maspeth,40.71609,-73.9025,Private room,30,20,0,,,1,0
Large master bedroom one block from Prospect Park,Matt,Brooklyn,Prospect Heights,40.67575,-73.96546,Private room,102,1,5,06/09/2016,0.14,1,0
"Private Studio Apt+Bath, Luxury King, Kitchenette",Ryan,Brooklyn,Williamsburg,40.71474,-73.94461,Entire home/apt,55,4,34,18/06/2019,1.07,1,0
"Dramatic Duplex, Hosted, Huge>Slp.14, Subway 50 Yd",Itzchack,Brooklyn,Carroll Gardens,40.6788,-73.99559,Entire home/apt,525,4,5,30/05/2017,0.14,1,327
"Sunny, cozy room in Brooklyn.",Edgar,Brooklyn,Bedford-Stuyvesant,40.69651,-73.96147,Private room,45,1,60,02/07/2019,2.27,2,224
Cozy room in 2BR apartment - Greenpoint,Jana,Brooklyn,Greenpoint,40.72325,-73.9432,Private room,59,4,1,02/08/2016,0.03,1,0
Beautiful  Apartment in Quiet Neighborhood L Train,Sarah,Queens,Ridgewood,40.6997,-73.90243,Private room,75,3,8,14/09/2018,0.22,1,81
"Bright Private Room on L/M in Bushwick, Queen-size",Alicia,Brooklyn,Bushwick,40.69956,-73.91888,Private room,69,2,62,01/07/2019,1.8,1,16
"Lovely S.Slope 3BR in 4BR 1300 sf dplx,deck&birds!",Vanessa,Brooklyn,South Slope,40.66537,-73.98784,Private room,300,2,2,06/09/2016,0.06,3,0
Private bedroom for the weekend,Ade,Brooklyn,East New York,40.66337,-73.89806,Private room,50,1,1,06/07/2016,0.03,1,0
Cool apartment in Williamsburg,Adam,Brooklyn,Williamsburg,40.71515,-73.93706,Entire home/apt,150,3,2,31/07/2016,0.06,1,0
Blake's residents,Maxine,Queens,Queens Village,40.70975,-73.73347,Private room,85,1,5,03/09/2017,0.14,1,89
FORT GREENE- Private room in spacious apartment.,Fernando & Jess,Brooklyn,Fort Greene,40.69195,-73.97151,Private room,57,7,0,,,1,0
Beautiful book-filled room + garden in Bed Stuy,Josephine,Brooklyn,Bedford-Stuyvesant,40.68847,-73.95443,Private room,50,1,0,,,1,0
"Comfy, Peaceful and Private studio basement!",Pamela,Brooklyn,Williamsburg,40.7171,-73.9573,Entire home/apt,100,10,0,,,1,0
Bright chic room in Clinton hill,Lisa,Brooklyn,Clinton Hill,40.68366,-73.96563,Private room,65,7,10,10/12/2017,0.28,1,0
"Very Clean, Comfortable Room Available",Yakup,Brooklyn,Midwood,40.61295,-73.95366,Private room,50,1,10,28/04/2019,0.3,1,0
"Dottie's Place, Room #2...Just for You!",Traci,Queens,Rosedale,40.65218,-73.73498,Private room,70,1,0,,,1,0
"Large, cozy 'n sweet",Tavish,Brooklyn,Bushwick,40.69306,-73.92106,Private room,40,4,1,05/10/2016,0.03,1,0
MODERN WILLIAMSBURG DUPLEX NEAR ALL THE ACTION,Robert,Brooklyn,Williamsburg,40.70875,-73.9467,Entire home/apt,250,4,10,05/03/2017,0.27,1,0
Nicely furnished room in a spacious apartment,Dilini,Brooklyn,Prospect-Lefferts Gardens,40.65702,-73.96066,Private room,33,14,6,25/11/2017,0.17,1,0
Brooklyn - Bushwick - NYC,Ming,Brooklyn,Bushwick,40.69677,-73.93027,Private room,46,2,126,24/06/2019,3.51,4,80
Gorgeous Astoria 1 Br,Jonathan,Queens,Long Island City,40.74616,-73.94653,Private room,101,1,0,,,1,0
Spacious 1BR apartment in elevator building,Azoil,Brooklyn,East Flatbush,40.65192,-73.95243,Entire home/apt,76,7,1,01/09/2016,0.03,1,0
"Beautiful, Bright and Modern Space w/ a Fresh Feel",Kimberly,Brooklyn,Bushwick,40.68365,-73.91069,Entire home/apt,129,2,43,23/06/2019,1.2,1,80
The trendiest block in Bedford Stuyvesant Brooklyn,Byron,Brooklyn,Bedford-Stuyvesant,40.68283,-73.94375,Private room,100,1,0,,,1,0
Private Room in Charming Bedstuy,Matt & Crutch,Brooklyn,Bedford-Stuyvesant,40.67803,-73.92663,Private room,58,2,78,30/06/2019,2.2,3,82
Subway accessible apartment in Brooklyn!,Ashlee,Brooklyn,Kensington,40.64231,-73.97974,Private room,50,5,0,,,1,0
Twin size bed 2 blocks away L&M train to Manhattan,Serdar,Queens,Ridgewood,40.70183,-73.91146,Private room,35,7,16,25/06/2019,0.47,1,247
Private room w/1Queen Bed (Lower level),Shirley,Queens,Flushing,40.74981,-73.82742,Private room,40,7,19,21/06/2019,0.84,12,134
Bk'S Finest feels Cozy Room Near Trains&bus,Joyell,Brooklyn,Bushwick,40.69425,-73.92781,Private room,44,1,157,16/06/2019,4.52,7,61
Beautiful Cozy Garden Apt- Historic Clinton Hill,Maritza,Brooklyn,Clinton Hill,40.68421,-73.96631,Entire home/apt,95,30,11,21/06/2019,0.31,2,43
"Private room in Astoria, NY",Liliana,Queens,Astoria,40.75528,-73.91628,Private room,55,2,41,02/06/2019,1.19,1,278
Charming 1BR in Williamsburg - perfectly located,Rachad,Brooklyn,Williamsburg,40.72128,-73.95782,Entire home/apt,249,3,0,,,1,0
Beautiful two bedroom apartment in Astoria queens!,Cristy,Queens,Ditmars Steinway,40.77407,-73.90037,Entire home/apt,200,2,11,19/05/2019,0.52,1,363
Park Slope Cluehouse,Caroline,Brooklyn,Park Slope,40.66958,-73.98623,Entire home/apt,700,1,2,05/09/2017,0.06,1,88
"Empty 3 bedroom apartment in Bushwick, Brooklyn",Christina,Brooklyn,Bushwick,40.69477,-73.92376,Entire home/apt,45,5,8,28/02/2019,0.22,2,0
Cozy 1 BR Apt in Brownstone Brooklyn,Ben,Brooklyn,Cobble Hill,40.68789,-73.99426,Entire home/apt,140,5,8,29/06/2018,0.22,1,0
Private Studio Apartment in Heart of Brooklyn!!,Judy,Brooklyn,Midwood,40.62465,-73.964,Entire home/apt,99,5,57,25/06/2019,1.57,3,93
Oct in Brooklyn One Bedroom Apartment,Offer,Brooklyn,Bedford-Stuyvesant,40.69509,-73.9367,Entire home/apt,75,10,2,03/11/2016,0.06,1,0
"Cozy bedroom, convenient, Woodside, 7 train",Martha,Queens,Sunnyside,40.74582,-73.91233,Private room,50,1,78,26/06/2019,2.21,1,218
Sunny room in modern building located in Bedstuy,David,Brooklyn,Bedford-Stuyvesant,40.69181,-73.94312,Private room,60,5,3,17/10/2016,0.08,1,0
Private elevator contemporary minimalist Brooklyn,Summer,Brooklyn,Prospect-Lefferts Gardens,40.65761,-73.94646,Entire home/apt,119,1,4,01/01/2017,0.11,2,0
Stunning Brooklyn Townhouse,Andrew,Brooklyn,Park Slope,40.67198,-73.98278,Entire home/apt,400,5,1,13/07/2016,0.03,1,0
The Parachute Loft Bedrm 2,Anna,Brooklyn,Coney Island,40.57476,-74.00101,Private room,95,1,41,16/06/2019,1.33,2,158
Large Bedroom Brooklyn,Chaima,Brooklyn,Bedford-Stuyvesant,40.68014,-73.94513,Private room,45,1,1,30/08/2016,0.03,1,0
LEGO Garden 1BR Apt +Patio near JFK & LGA Airports,Kazumi,Queens,Briarwood,40.71409,-73.82382,Private room,73,4,72,30/06/2019,2.11,1,282
Top location 1BR 5mins to Manhattan,Dimitar,Queens,Long Island City,40.74466,-73.95274,Entire home/apt,90,7,0,,,1,0
1 Bedroom in williamsburg,Geoffray,Brooklyn,Williamsburg,40.70912,-73.94107,Entire home/apt,150,7,0,,,1,0
"Cute 1 br, steps to train, BUSHWICK",Jennie,Brooklyn,Bushwick,40.69997,-73.92083,Entire home/apt,105,2,30,03/10/2018,0.84,1,291
Spacious 2br Fort Greene apartment with yard!,Nellie,Brooklyn,Fort Greene,40.69153,-73.97078,Entire home/apt,150,7,2,22/08/2016,0.06,1,0
Spacious One Bedroom Steps From Prospect Park,Amy,Brooklyn,Windsor Terrace,40.65024,-73.9737,Entire home/apt,105,2,1,22/09/2016,0.03,1,0
Near Manhattan & ForestHStadium studio w/ pvt bath,Julia,Queens,Forest Hills,40.71249,-73.84942,Private room,90,1,31,24/09/2018,0.9,2,1
Cozy Room In the Heart of Astoria,Adrian,Queens,Astoria,40.76249,-73.91176,Private room,30,2,56,01/10/2017,1.57,1,0
Spacious Bushwick Room w/ Private Entrance & Bath,Angelika,Brooklyn,Bushwick,40.69715,-73.93166,Entire home/apt,109,2,117,23/06/2019,3.22,1,51
Large Bedroom for $750 Monthly,Nataly,Brooklyn,Bedford-Stuyvesant,40.68057,-73.94508,Private room,750,1,0,,,1,365
Private Entrance Basement Studio,Samantha,Brooklyn,Williamsburg,40.71992,-73.96069,Entire home/apt,146,1,0,,,1,0
Sunny and cozy Stuy Heights 1BR,Christina,Brooklyn,Bedford-Stuyvesant,40.68278,-73.93427,Entire home/apt,120,2,2,25/09/2016,0.06,1,0
Spacious 1 BD in Williamsburg next to L train,Jesse,Brooklyn,Williamsburg,40.71256,-73.94505,Entire home/apt,125,1,3,18/09/2016,0.09,1,0
Completely Renovated Prewar Apartment in HOT Area,Lindsay,Queens,Astoria,40.75816,-73.91945,Entire home/apt,110,5,0,,,1,0
"Live, Love, Stay in the Bronx!",Vernise,Bronx,Allerton,40.86066,-73.85414,Private room,50,1,8,12/11/2018,0.23,1,280
Spacious & Quiet Bedroom w/ Private Bathroom,Ryan,Brooklyn,Greenpoint,40.7317,-73.95473,Private room,100,2,8,16/11/2016,0.23,1,0
Your home away from home...,Donald,Bronx,Wakefield,40.8947,-73.85601,Private room,52,3,63,21/09/2018,1.78,1,0
Light filled private bedroom in Bed Stuy's best.,Scott,Brooklyn,Bedford-Stuyvesant,40.68637,-73.94477,Private room,75,2,6,14/12/2016,0.17,1,0
Light-Filled Williamsburg Loft,Benjamin,Brooklyn,Williamsburg,40.71725,-73.95541,Private room,155,4,3,11/12/2016,0.09,1,0
"Comfort First, in Williamsburg",Irma,Brooklyn,Williamsburg,40.7099,-73.95779,Entire home/apt,144,2,14,15/12/2016,0.39,1,0
FEMALE ONLY,Luqian,Brooklyn,Sunset Park,40.64025,-74.01735,Private room,25,4,2,10/08/2016,0.06,1,0
Sunrise Loft Room in Luxurious Brooklyn Condo,Fay,Brooklyn,Canarsie,40.63927,-73.88145,Private room,65,2,13,05/05/2019,0.42,2,270
"Perfect Private Garden Apartment, 2 blox to subway",Martin & Hande,Brooklyn,Bedford-Stuyvesant,40.68082,-73.91128,Entire home/apt,99,2,142,07/07/2019,3.94,1,57
Secret Alley Carriage House,Paula,Brooklyn,Bedford-Stuyvesant,40.68774,-73.95477,Entire home/apt,250,1,29,07/06/2019,0.92,3,347
Spaceous Bushwick Two Floor Apartment,Charlie,Brooklyn,Bushwick,40.6988,-73.91239,Private room,55,2,0,,,1,0
THE crashpad for your Brooklyn adventure!,Rahul,Brooklyn,Bedford-Stuyvesant,40.68001,-73.94883,Private room,36,2,0,,,1,0
****THE SUITE LIFE DUPLEX****,Kila,Brooklyn,Bedford-Stuyvesant,40.68821,-73.93758,Private room,69,5,54,02/07/2019,1.55,1,320
Comfy Williamsburg townhouse 950sf w gorgeous yard,Susan,Brooklyn,Williamsburg,40.71558,-73.93577,Entire home/apt,249,3,26,22/10/2018,0.76,1,0
Williamsburg large and sunny private room,Florencia,Brooklyn,Williamsburg,40.71124,-73.94861,Private room,57,7,14,04/05/2019,0.39,2,0
Serene and Spacious Sunnyside Retreat,Dean,Queens,Sunnyside,40.74498,-73.91385,Entire home/apt,99,2,2,27/07/2016,0.06,1,0
Pre-War 1 BR with Scenic Manhattan Views,Michael,Staten Island,St. George,40.64475,-74.07811,Private room,50,1,0,,,1,0
Amazing view in an artist's living 2bed/2bath apt,Krisztián,Brooklyn,Williamsburg,40.71118,-73.96342,Entire home/apt,370,6,5,31/12/2018,0.14,1,0
Sunny Room in Williamsburg!  $1200/Month,Nicole,Brooklyn,Williamsburg,40.71241,-73.95354,Private room,55,21,0,,,1,0
Sunny Bushwick room on Jefferson st,Chris,Brooklyn,Bushwick,40.70296,-73.92919,Private room,40,30,0,,,1,0
One Bedroom Apartment- Only 15 min to Time Square!,Mingmar,Queens,Woodside,40.74399,-73.89817,Entire home/apt,87,1,162,23/06/2019,4.45,1,332
1 Bdrm in Spacious Apartment with Amenities,Dhruv,Brooklyn,Bedford-Stuyvesant,40.68461,-73.95084,Private room,65,2,0,,,1,0
Private Sunny Bedroom in a Modern 2 Bedroom Co-op,Lori,Brooklyn,Kensington,40.64498,-73.98191,Private room,46,1,19,02/01/2018,0.56,1,0
The Bushwick Museum,Amanda,Brooklyn,Bushwick,40.70112,-73.93086,Private room,55,1,3,29/07/2016,0.08,1,0
"Cozy, quiet 1 bdrm centrally located",Alicia,Brooklyn,Crown Heights,40.66914,-73.9557,Private room,130,2,20,19/05/2019,0.55,1,89
Great 3 Bedroom Apt  Near Manhatthen,Scott,Queens,Ditmars Steinway,40.77415,-73.91695,Entire home/apt,125,1,1,25/07/2016,0.03,1,0
Spacious Sunny Bedroom near JMZ Subways,Amaya,Brooklyn,Bedford-Stuyvesant,40.69454,-73.93319,Private room,73,5,89,10/06/2019,2.68,6,94
"Cozy room, easy trip to Manhattan & North Brooklyn",Emmie,Brooklyn,Bedford-Stuyvesant,40.68374,-73.95012,Private room,41,1,1,09/08/2016,0.03,1,0
Prospect Lefferts Terrific Townhouse,Sarah,Brooklyn,Prospect-Lefferts Gardens,40.66047,-73.95445,Entire home/apt,175,6,3,28/08/2018,0.13,1,12
"Spacious Apt in Brand New Bldg, Private Yard!",Rita,Brooklyn,Bushwick,40.69095,-73.91909,Entire home/apt,140,3,0,,,1,0
Luxury 1 bedroom apt. -stunning Manhattan views,Erin,Brooklyn,Greenpoint,40.7326,-73.95739,Entire home/apt,10000,5,5,27/07/2017,0.16,1,0
in the heart of williamsburg,Roei,Brooklyn,Williamsburg,40.71319,-73.95822,Entire home/apt,300,14,3,22/09/2018,0.08,1,345
Bushwick Basement Large Room with Half Bath,Jessica,Brooklyn,Bushwick,40.69904,-73.91792,Private room,38,1,3,19/09/2016,0.08,1,0
HUGE New Industrial Williamsburg Apartment,Douglas,Brooklyn,Williamsburg,40.71741,-73.93487,Entire home/apt,220,4,4,31/10/2017,0.11,1,0
2 Floor Condo in Williamsburg with Pvt Terrace,Thobey,Brooklyn,Williamsburg,40.71684,-73.94578,Entire home/apt,250,1,0,,,1,0
LUXURY HUGE 2BR DUPLEX NEAR TRAIN - PATIO OASIS!!,Vikas,Brooklyn,Bedford-Stuyvesant,40.68861,-73.94109,Entire home/apt,115,1,350,26/06/2019,9.61,2,137
Private Room in Fun Neighborhood,David,Queens,Ridgewood,40.71164,-73.91879,Private room,30,15,0,,,1,0
Homey 1BR close to US Open,J.A.,Queens,Jackson Heights,40.75145,-73.88946,Entire home/apt,150,3,4,15/09/2017,0.12,1,0
Cozy comfortable room near JFK&LGA#3,John,Queens,Richmond Hill,40.69196,-73.82029,Private room,38,3,32,04/06/2019,0.89,5,212
Comfy 1 Bedroom in commercial East Flatbush,Daniel And Christianne,Brooklyn,East Flatbush,40.65214,-73.93126,Entire home/apt,62,2,85,15/06/2019,2.36,1,33
Cozy and Cool East Williamsburg 1 BR in 2 BR,Arash,Brooklyn,Williamsburg,40.71281,-73.94603,Private room,60,6,2,05/01/2017,0.06,2,0
Bedstuy Brownstone Gem,Fanny,Brooklyn,Bedford-Stuyvesant,40.68535,-73.94959,Entire home/apt,138,3,95,05/07/2019,2.74,1,71
Beautiful Beach Home,Sonya,Queens,Rockaway Beach,40.58633,-73.80603,Private room,85,1,0,,,1,0
Amazing One Bedroom apartment with private patio,Julien,Brooklyn,Williamsburg,40.70842,-73.95437,Entire home/apt,120,1,21,10/10/2017,0.58,1,0
Beautiful room on Brownstone in Bushwick,Jose,Brooklyn,Bushwick,40.69283,-73.90961,Private room,41,2,42,02/01/2019,1.16,1,0
Room,James,Queens,Jamaica,40.67088,-73.76672,Private room,159,1,0,,,2,363
1 bedroom in 3 bedroom/2bath Bushwick Apt.,Hattie,Brooklyn,Bushwick,40.68987,-73.91548,Private room,35,1,1,10/08/2016,0.03,1,0
Peaceful Retreat with Garden in Brooklyn Heights,Andy,Brooklyn,Brooklyn Heights,40.69389,-73.99586,Entire home/apt,215,3,4,19/05/2019,0.31,1,0
Peaceful Private Space in Astoria,Rob,Queens,Astoria,40.76963,-73.93041,Entire home/apt,115,2,64,01/07/2019,1.77,1,89
Master bedroom with a California king size bed,PeiYoung,Queens,Astoria,40.75684,-73.92518,Private room,75,1,0,,,1,0
Whole apartment in Forest Hills,Constanza,Queens,Forest Hills,40.71642,-73.8357,Entire home/apt,200,5,1,29/08/2016,0.03,1,0
Bedroom in Clinton Hill,Autumn,Brooklyn,Clinton Hill,40.69561,-73.96269,Private room,79,3,26,30/05/2019,0.75,3,362
Classic brownstone drenched with light,Claudia,Brooklyn,Clinton Hill,40.69244,-73.96501,Entire home/apt,130,7,1,04/08/2016,0.03,1,0
Small Cozy comfortable room nearJFK#5,John,Queens,Richmond Hill,40.69018,-73.82141,Private room,32,2,10,19/08/2018,0.32,5,342
Beautiful bedroom / in Beach home,Josephine,Queens,Arverne,40.59005,-73.79449,Private room,37,1,114,04/06/2019,3.18,2,305
Cozy Bushwick Brooklyn Room -20 mins to Manhattan!,Sinida,Brooklyn,Bushwick,40.7017,-73.93716,Private room,55,1,88,07/07/2019,2.43,2,102
Good Deal! Large Clean and Stylish 1Bedroom!,Alison,Brooklyn,Midwood,40.62803,-73.9675,Entire home/apt,75,3,6,31/12/2018,0.17,1,0
Private Room in a Great Brooklyn Loft,Emine Gozde,Brooklyn,Williamsburg,40.70778,-73.9464,Private room,42,15,1,27/07/2016,0.03,1,0
Vida Local,Lou,Bronx,Highbridge,40.83736,-73.92318,Private room,22,3,14,10/10/2017,0.39,1,42
Brownstone apt in Bklyn w/ gorgeous natural light,Whitney,Brooklyn,Bedford-Stuyvesant,40.6837,-73.93325,Entire home/apt,125,2,4,02/01/2017,0.12,1,0
Sunny and spacious apartment in Brooklyn,Aris,Brooklyn,Greenpoint,40.73273,-73.95764,Private room,60,4,30,25/06/2018,0.83,2,0
Private Room in Kelly&Joes Loft Apt,Johannes,Queens,Astoria,40.75951,-73.91963,Private room,55,1,0,,,1,0
SOUTH SLOPE Brooklyn - Bright and Spacious Bedroom,Dhwani,Brooklyn,Sunset Park,40.65976,-73.99191,Private room,35,2,0,,,1,0
Stylish Private Room 3 subway stops to Manhattan,Priscila,Queens,Long Island City,40.75382,-73.91968,Private room,70,3,90,04/07/2019,2.6,1,24
Gorgeous and Cosy Studio in Astoria!,Vanessa,Queens,Ditmars Steinway,40.78028,-73.91477,Entire home/apt,90,3,5,18/09/2016,0.14,1,0
Charismatic Flat in Astoria,Stephanie,Queens,Astoria,40.76482,-73.91996,Private room,100,3,11,01/01/2019,0.32,1,0
Romantic Art-Filled Apartment with Large Backyard,Natalie,Brooklyn,Crown Heights,40.66957,-73.94804,Entire home/apt,150,3,0,,,2,0
Great Appartment with cool roomates in Bushwick,Geraldine,Brooklyn,Williamsburg,40.70282,-73.94287,Private room,60,1,0,,,1,0
Beautiful one bedroom apartment in Williamsburg,Naief,Brooklyn,Williamsburg,40.71822,-73.94454,Entire home/apt,120,4,53,30/06/2019,1.46,1,15
Spacious master bedroom in Forest Hills,Shlomit,Queens,Forest Hills,40.73096,-73.84924,Private room,75,2,16,01/01/2019,0.61,1,157
Huge Private Room in Williamsburg/Buschwick!!,Cristina,Brooklyn,Williamsburg,40.70875,-73.94271,Private room,55,2,2,01/08/2016,0.06,1,0
"Cozy 1 Bedroom in Crown Heights, right by subway!",Chana,Brooklyn,Crown Heights,40.66873,-73.9329,Entire home/apt,75,1,0,,,1,0
Brooklyn at its Best!,Ainslie And John,Brooklyn,Prospect-Lefferts Gardens,40.65966,-73.95601,Private room,85,2,160,02/07/2019,4.44,2,136
Charming Brooklyn apartment in historic brownstone,Heather,Brooklyn,Clinton Hill,40.69048,-73.96577,Entire home/apt,185,2,9,09/03/2019,0.25,1,0
Bright Astoria Apt Near Manhattan,Lili,Queens,Ditmars Steinway,40.77121,-73.9171,Entire home/apt,70,2,9,07/10/2017,0.26,1,0
1 Bedroom Apartment in Brooklyn fully renovated,Martin,Brooklyn,Bushwick,40.68374,-73.90988,Entire home/apt,100,4,85,19/06/2019,2.41,2,107
Sunny Suite in Bed Stuy with AC!,Hadass,Brooklyn,Bedford-Stuyvesant,40.68968,-73.94548,Private room,40,2,104,24/06/2019,2.88,3,97
Affordable room near of LGA airport in Queens.,Lucilu,Queens,Woodside,40.74071,-73.89186,Private room,55,1,251,23/06/2019,9.3,2,31
Private studio in the heart of Park Slope,Jasna,Brooklyn,Park Slope,40.67819,-73.98084,Entire home/apt,150,3,10,15/11/2017,0.28,1,0
Modern Apt in Prime Brooklyn That Has it All,Igor,Brooklyn,Park Slope,40.67132,-73.98709,Entire home/apt,113,1,0,,,1,0
Spacious Room with Character in BK,Talor,Brooklyn,Crown Heights,40.67285,-73.95734,Private room,45,1,3,15/10/2017,0.09,1,0
"Great quiet room,great location",Mary,Queens,Sunnyside,40.74379,-73.91277,Private room,90,1,1,11/09/2016,0.03,1,173
Big 4 bedroom house with garden by the Park in PLG,Audrey,Brooklyn,Prospect-Lefferts Gardens,40.65627,-73.95468,Entire home/apt,225,2,10,30/05/2017,0.29,1,0
Newly Renovated Clinton Hill Duplex,Maya,Brooklyn,Clinton Hill,40.68265,-73.96631,Entire home/apt,325,5,80,22/06/2019,2.21,1,92
Extremely spacious duplex with garden,Elaine,Brooklyn,Sunset Park,40.66053,-73.98929,Entire home/apt,359,5,8,26/11/2017,0.23,1,0
Cosy Studio with a backyard in Forest Hills,Swati,Queens,Forest Hills,40.72143,-73.85522,Entire home/apt,99,1,143,28/06/2019,3.96,1,282
Cozy room w/private entrance in East Williamsburg,Kaitlin,Brooklyn,Williamsburg,40.70883,-73.93873,Private room,67,1,14,12/04/2017,0.4,1,0
Greenpoint Artist Loft,Ashley,Brooklyn,Greenpoint,40.72675,-73.94219,Private room,25,7,2,06/12/2016,0.06,1,0
Private apartment 45 min away from the city,Peter,Queens,Ozone Park,40.68345,-73.83378,Entire home/apt,125,1,11,23/08/2016,0.31,1,0
